word,freq
duration,24
millis,6
micros,6
nanos,9
50202,1
tada,6
stabilization,44
u128,8
never,70
made,72
please,24
missed,20
step,59
followed,9
forge,5
org,119
stabilization-guide,2
html,59
old,63
prs,18
2,222
base,21
my,111
work,160
iterator,75
copied,17
initially,13
suggested,34
bluss,7
rust-itertools,1
289,1
maintainers,3
itertools,3
standard,47
library,68
intent,9
accidentally,41
cloning,15
elements,25
refactoring,31
causes,34
longer,76
copy,79
relatively,13
common,50
seen,26
calling,43
rg,6
--pcre2,1
map,75
w,13
repository,17
many,43
uses,104
cloned,15
changing,30
something,82
copyable,1
unnoticeable,1
performance,63
penalty,1
makes,148
sense,38
includes,54
slice,81
pair,9
clone,49
particularly,12
important,34
along,21
consistency,15
header,20
licenses,1
across,35
request,36
removes,58
files,84
ve,84
attempted,10
any,239
headers,9
nothing,17
blocking,11
unfortunately,29
basic,25
removing,41
updates,68
otherwise,54
am,36
fairly,9
confident,4
while,132
wide-sweeping,1
fail,54
non-script,1
based,60
manual,14
carefully,6
verified,4
pietroalbini,4
infra,5
non,24
camel,4
case,170
early,26
us,64
catch,19
kinds,12
style,23
violations,3
much,74
earlier,18
evidenced,3
large,29
had,72
updated,59
address,40
fixme,25
whose,13
associated,57
marked,29
part,144
44366,3
parallel,15
faster,31
stack,42
reversal,1
cycle,25
queries,24
eagerly,6
simplify,41
trimming,3
minor,54
spots,2
revert,40
56944,2
57111,1
involving,15
caused,43
rust-std,5
tarballs,4
libllvm,3
stdsimd,41
submodule,77
brings,14
wasm,53
intrinsic,19
naming,15
atomics,10
reimplement,4
most,99
simd128,3
intrinsics,37
misc,8
improvements,60
including,23
avx-512,4
backtrace-sys,2
switches,4
duplicating,2
logic,33
repositor,1
eventually,14
hopefully,67
towards,25
itself,65
re,86
quite,40
yet,82
incremental,41
take,85
fixup,1
6130fc884bc1dff9bb835894a7bb2042c110b011,1
automatically,34
outdated,13
build,178
enabled,61
config,31
true,34
threw,2
git,24
-q,1
sync,34
--progress,3
src,178
57080,1
hello,11
public,38
what-is-rustc,1
basic-usage,1
throws,3
e0603,2
4,90
making,62
problem,65
55470,1
box,62
56242,1
bootstrap,76
dylib,6
thinlto,25
56978,1
56985,1
testing,41
inboundedness,2
forbidding,3
dangling,11
56986,1
move,122
jemalloc,10
driver,20
57010,1
compiletest,37
57021,1
emission,3
alignment,34
pointer,59
params,12
57074,1
recursion,13
limits,3
57085,1
librustc,74
codegen,89
eliminate,12
c,72
abi,28
linux-sparc64,2
accordance,4
sparc,13
compliance,1
3p-12,1
says,21
up,243
applies,20
well,118
passed,43
register,10
creation,13
assumptions,4
inlining,22
opt,18
non-inlined,1
gives,23
information,49
inserting,4
assumes,7
kill,9
optimizations,18
arg-align-attributes,2
previously,106
controlled,2
54982,1
nagisa,21
who,27
scottmcm,4
assuming,15
resulted,5
executed,9
couldn,24
find,68
mentions,8
unit,35
logs,6
execution,14
checktools,1
sh,16
script,32
moves,28
binary,30
rather,95
than,186
enusring,1
binaries,17
opt-in,4
56980,1
ralfjung,44
expose,18
platform-specific,6
apis,29
behind,25
platform,24
gate,48
depends,17
able,62
meaningfully,2
non-standard,4
distributed,4
create,61
object,39
dynamically,9
linking,31
artifact,3
statically,9
primary,8
reduce,42
times,25
avoiding,13
builds,74
reuse,10
done,65
lots,14
discussion,63
down,38
perf,30
show,63
whether,54
worth,16
issuecomment-417015334,1
steveklabnik,21
51430,12
brief,4
description,21
behaviour,25
examples,48
sure,144
sort,31
put,32
play,12
version,111
mode,74
debug,77
2015,21
gist,19
97c908f44e41c9faeffec5b61d72a03e,1
doesn,177
even,113
manage,4
somehow,10
feel,11
56188,1
suggestion,93
56342,1
collecting,11
56916,1
mutable,37
static,84
mut,104
56917,1
generation,27
logical,3
operations,31
56939,1
56953,1
live,18
their,113
constructors,10
56964,1
tokenstream,12
jointtree,2
56966,1
correct,104
deref,14
access,45
57020,1
cause,64
57032,1
deprecation,25
liballoc,17
benches,6
57053,1
57062,1
57067,1
min,35
33,18
57078,1
ignore,51
s390x,3
a416c5e0,2
state,30
todo,8
498,1
panic,109
202,1
args,24
rm,5
stderr,34
contrib,1
md,61
hierarchy,2
43081,5
teach,4
suspicious,2
plugin,14
mutex,18
atomic,32
location,31
atomicbool,4
friends,4
useless,18
method,142
sugg,2
bitwise,5
renaming,11
rename,71
repetitions,1
place,59
comparisons,7
against,43
